Fecha_generacion,Fecha_evaluacion,Antelacion,Numero_habitaciones_hotel,Numero_habitaciones_bloqueadas,Room_nights_individuales_actuales,Room_nights_grupos_actuales,Precio_actual,Revenue_individual_actual,Revenue_grupos_actual,Precio_competidor1,Precio_competidor2,Precio_competidor3,Cancelaciones,Evento_muy_grande,Evento_grande,Duracion_evento,Horas_sol,Temperatura_minima,Temperatura_maxima,Día_de_la_semana
2022-04-01,2022-04-19,18,100,0,17,7,77,1319.2,500.08,72,82,86,3,0,0,0,7.05,8.63,21.08,Tuesday
2022-04-01,2022-04-20,19,100,3,10,8,75,745.33,548.27,66,76,76,0,0,0,0,7.33,10.54,21.46,Wednesday
2022-04-01,2022-04-21,20,100,0,13,9,83,1079.87,687.84,78,86,86,3,0,0,0,8.82,8.03,21.13,Thursday
2022-04-01,2022-04-22,21,100,0,10,22,83,839.33,1700.45,85,87,91,4,0,0,0,7.21,10.82,18.32,Friday
2022-04-01,2022-04-23,22,100,0,8,13,88,702.4,1049.88,89,91,81,1,0,0,0,8.22,11.87,18.56,Saturday
2022-04-01,2022-04-24,23,100,0,7,20,88,616.47,1620.53,86,94,85,2,0,0,0,8.1,8.07,18.44,Sunday
2022-04-01,2022-04-25,24,100,3,12,10,77,932.0,715.07,77,84,80,0,0,0,0,8.9,8.88,21.91,Monday
2022-04-01,2022-04-26,25,100,0,12,5,82,980.0,375.53,86,72,83,5,0,0,0,7.52,9.31,18.88,Tuesday
2022-04-01,2022-04-27,26,100,0,15,7,77,1154.0,495.41,82,72,76,0,0,0,0,8.35,8.04,19.82,Wednesday
2022-04-01,2022-04-28,27,100,0,14,8,86,1205.87,634.03,89,87,84,1,0,0,0,7.2,10.98,18.33,Thursday
2022-04-01,2022-04-29,28,100,0,7,15,75,521.73,1028.0,71,82,65,0,0,0,0,8.28,10.64,21.19,Friday
2022-04-01,2022-04-30,29,100,0,5,25,80,402.0,1850.0,87,71,88,2,0,0,0,8.28,9.86,21.22,Saturday
2022-04-01,2022-05-01,30,100,0,8,20,83,661.33,1520.53,87,84,73,1,0,0,0,8.75,12.24,24.62,Sunday
2022-04-01,2022-05-02,31,100,0,11,7,80,882.2,516.6,85,86,72,2,0,0,0,9.72,12.16,23.19,Monday
2022-04-01,2022-05-03,32,100,0,12,7,90,1078.4,578.67,89,81,98,2,0,0,0,9.09,12.53,24.2,Tuesday
2022-04-01,2022-05-04,33,100,0,10,9,74,735.33,608.52,69,76,70,0,0,0,0,8.11,12.9,22.02,Wednesday
2022-04-01,2022-05-05,34,100,1,13,8,83,1071.2,606.08,80,81,79,1,0,0,0,9.94,13.99,24.79,Thursday
2022-04-01,2022-05-06,35,100,2,4,22,86,349.87,1772.91,93,95,92,1,0,0,0,8.34,12.49,23.78,Friday
2022-04-01,2022-05-07,36,100,0,6,23,90,541.2,1909.0,99,85,89,3,0,0,0,8.98,15.57,23.1,Saturday
2022-04-01,2022-05-08,37,100,0,5,15,88,445.67,1231.4,96,95,90,2,0,0,0,9.18,15.36,23.75,Sunday
2022-04-01,2022-05-09,38,100,0,10,3,80,796.67,219.8,78,73,84,0,0,0,0,9.91,13.91,22.54,Monday
2022-04-01,2022-05-10,39,100,0,10,9,80,802.67,664.8,80,86,78,2,0,0,0,8.29,13.97,25.77,Tuesday
2022-04-01,2022-05-11,40,100,0,14,5,84,1178.8,387.4,92,87,76,2,0,0,0,8.51,15.28,25.13,Wednesday
2022-04-01,2022-05-12,41,100,0,8,5,78,616.0,353.8,80,70,69,0,0,0,0,8.34,14.62,22.78,Thursday
2022-04-01,2022-05-13,42,100,1,6,11,80,474.0,798.6,76,78,71,1,0,0,0,9.4,15.93,22.72,Friday
2022-04-01,2022-05-14,43,100,0,4,21,88,348.8,1683.36,94,79,79,1,0,0,0,8.75,14.78,23.67,Saturday
2022-04-01,2022-05-15,44,100,0,11,13,108,1181.4,1283.88,114,101,100,4,0,1,1,9.04,14.61,24.11,Sunday
2022-04-01,2022-05-16,45,100,0,8,6,82,654.4,451.44,91,76,76,1,0,0,0,8.88,13.45,23.84,Monday
2022-04-01,2022-05-17,46,100,0,7,7,81,558.13,512.77,77,75,72,4,0,0,0,8.6,14.41,25.79,Tuesday
2022-04-01,2022-05-18,47,100,0,10,6,94,954.67,527.68,99,102,103,3,0,0,0,8.85,12.02,24.8,Wednesday
2022-04-01,2022-05-19,48,100,0,12,7,87,1040.0,557.95,96,80,80,0,0,0,0,8.37,13.38,24.73,Thursday
2022-04-01,2022-05-20,49,100,0,6,18,85,516.8,1428.0,94,90,88,1,0,0,0,8.04,12.36,23.86,Friday
2022-04-01,2022-05-21,50,100,0,4,16,96,384.8,1416.32,103,90,98,1,0,0,0,9.59,15.99,24.12,Saturday
2022-04-01,2022-05-22,51,100,0,4,17,96,385.6,1508.24,94,95,105,1,0,0,0,9.33,15.53,24.15,Sunday
2022-04-01,2022-05-23,52,100,0,8,7,83,660.8,531.72,76,84,83,3,0,0,0,8.71,12.32,22.9,Monday
2022-04-01,2022-05-24,53,100,0,7,6,81,569.8,449.52,89,87,73,1,0,0,0,8.76,13.71,25.21,Tuesday
2022-04-01,2022-05-25,54,100,0,5,4,87,431.0,316.96,92,79,78,0,0,0,0,9.71,15.09,25.77,Wednesday
2022-04-01,2022-05-26,55,100,2,8,5,87,691.73,397.53,86,85,82,0,0,0,0,8.54,12.14,23.05,Thursday
2022-04-01,2022-05-27,56,100,0,3,11,90,265.0,892.47,80,82,83,0,0,0,0,9.34,15.52,25.08,Friday
2022-04-01,2022-05-28,57,100,0,4,11,88,355.47,900.09,95,96,86,0,0,0,0,9.91,12.06,22.4,Saturday
2022-04-01,2022-05-29,58,100,0,2,27,87,171.87,2132.28,88,79,78,2,0,0,0,9.09,14.53,24.94,Sunday
2022-04-01,2022-05-30,59,100,0,4,4,88,348.0,319.84,78,80,91,1,0,0,0,8.53,13.72,22.01,Monday
2022-04-01,2022-05-31,60,100,0,6,7,88,530.8,569.99,91,85,95,2,0,0,0,8.97,12.68,24.22,Tuesday
2022-04-02,2022-04-02,0,100,0,11,20,88,970.93,1624.53,86,86,96,2,0,0,0,8.43,9.18,21.43,Saturday
2022-04-02,2022-04-03,1,100,0,13,27,77,1000.13,1910.88,75,75,80,1,0,0,0,7.33,9.51,21.69,Sunday
2022-04-02,2022-04-04,2,100,0,20,7,77,1548.0,498.68,73,78,86,5,0,0,0,8.55,10.67,20.83,Monday
2022-04-02,2022-04-05,3,100,0,15,7,73,1088.0,466.85,73,68,71,3,0,0,0,7.08,9.66,21.58,Tuesday
2022-04-02,2022-04-06,4,100,0,18,12,79,1423.2,872.96,83,76,79,2,0,0,0,7.89,10.23,18.8,Wednesday
2022-04-02,2022-04-07,5,100,0,16,12,74,1184.0,816.96,68,78,76,4,0,0,0,7.4,9.59,19.46,Thursday
2022-04-02,2022-04-08,6,100,0,11,26,88,976.07,2124.03,85,93,97,2,0,0,0,8.48,11.06,20.15,Friday
2022-04-02,2022-04-09,7,100,0,8,28,92,729.07,2345.65,89,83,91,3,0,0,0,7.95,11.79,19.46,Saturday
2022-04-02,2022-04-10,8,100,0,10,27,93,936.0,2326.32,93,94,101,3,0,0,0,8.94,10.2,21.26,Sunday
2022-04-02,2022-04-11,9,100,0,22,5,86,1908.13,399.27,80,94,95,0,0,0,0,8.3,9.69,19.48,Monday
2022-04-02,2022-04-12,10,100,0,20,7,74,1469.33,472.83,81,64,69,1,0,0,0,8.96,11.38,21.39,Tuesday
2022-04-02,2022-04-13,11,100,0,19,3,101,1924.07,279.56,102,104,101,3,0,1,2,8.21,8.15,19.41,Wednesday
2022-04-02,2022-04-14,12,100,0,19,7,76,1436.4,486.64,68,86,68,0,0,0,0,7.73,10.75,18.75,Thursday
2022-04-02,2022-04-15,13,100,0,11,22,80,882.2,1623.6,75,83,85,1,0,0,0,8.14,8.33,21.8,Friday
2022-04-02,2022-04-16,14,100,0,8,19,83,657.6,1435.64,77,77,83,2,0,0,0,8.78,9.2,19.86,Saturday
2022-04-02,2022-04-17,15,100,0,6,24,92,552.4,2032.96,96,95,86,1,0,0,0,8.64,8.56,18.44,Sunday
2022-04-02,2022-04-18,16,100,0,13,8,78,1000.13,565.55,70,78,70,3,0,0,0,7.14,8.76,19.19,Monday
2022-04-02,2022-04-19,17,100,0,19,8,84,1616.27,626.77,83,93,92,6,0,0,0,7.05,8.63,21.08,Tuesday
2022-04-02,2022-04-20,18,100,3,13,8,89,1162.2,658.24,83,93,97,0,0,0,0,7.33,10.54,21.46,Wednesday
2022-04-02,2022-04-21,19,100,0,14,8,81,1130.27,594.03,75,78,86,4,0,0,0,8.82,8.03,21.13,Thursday
2022-04-02,2022-04-22,20,100,0,10,20,88,878.0,1615.2,87,84,90,1,0,0,0,7.21,10.82,18.32,Friday
2022-04-02,2022-04-23,21,100,0,8,20,83,662.93,1524.53,77,81,89,0,0,0,0,8.22,11.87,18.56,Saturday
2022-04-02,2022-04-24,22,100,0,7,17,80,558.13,1246.67,76,88,72,3,0,0,0,8.1,8.07,18.44,Sunday
2022-04-02,2022-04-25,23,100,3,13,8,84,1090.27,617.17,78,88,84,2,0,0,0,8.9,8.88,21.91,Monday
2022-04-02,2022-04-26,24,100,0,12,7,83,999.2,536.39,76,92,85,2,0,0,0,7.52,9.31,18.88,Tuesday
2022-04-02,2022-04-27,25,100,0,15,8,77,1150.0,564.05,72,87,67,1,0,0,0,8.35,8.04,19.82,Wednesday
2022-04-02,2022-04-28,26,100,0,13,8,85,1108.47,627.73,93,76,90,3,0,0,0,7.2,10.98,18.33,Thursday
2022-04-02,2022-04-29,27,100,0,6,15,86,514.4,1182.8,85,83,86,0,0,0,0,8.28,10.64,21.19,Friday
2022-04-02,2022-04-30,28,100,0,6,23,74,443.2,1562.77,77,70,73,0,0,0,0,8.28,9.86,21.22,Saturday
2022-04-02,2022-05-01,29,100,0,8,16,80,641.6,1180.8,72,82,89,1,0,0,0,8.75,12.24,24.62,Sunday
2022-04-02,2022-05-02,30,100,0,11,6,78,854.33,428.56,78,68,83,0,0,0,0,9.72,12.16,23.19,Monday
2022-04-02,2022-05-03,31,100,0,13,6,84,1098.93,466.88,93,87,80,1,0,0,0,9.09,12.53,24.2,Tuesday
2022-04-02,2022-05-04,32,100,0,10,8,71,716.67,527.89,75,78,70,1,0,0,0,8.11,12.9,22.02,Wednesday
2022-04-02,2022-05-05,33,100,1,11,8,69,760.47,508.91,63,67,79,2,0,0,0,9.94,13.99,24.79,Thursday
2022-04-02,2022-05-06,34,100,2,5,23,91,457.33,1936.29,82,98,100,0,0,0,0,8.34,12.49,23.78,Friday
2022-04-02,2022-05-07,35,100,0,7,21,81,557.2,1535.52,74,72,76,0,0,0,0,8.98,15.57,23.1,Saturday
2022-04-02,2022-05-08,36,100,0,6,19,84,506.0,1474.65,87,77,93,0,0,0,0,9.18,15.36,23.75,Sunday
2022-04-02,2022-05-09,37,100,0,9,3,81,729.0,223.56,79,74,90,2,0,0,0,9.91,13.91,22.54,Monday
2022-04-02,2022-05-10,38,100,0,10,8,85,852.0,627.2,91,82,85,1,0,0,0,8.29,13.97,25.77,Tuesday
2022-04-02,2022-05-11,39,100,0,16,7,87,1386.67,557.95,91,78,87,2,0,0,0,8.51,15.28,25.13,Wednesday
2022-04-02,2022-05-12,40,100,0,10,5,81,806.67,370.93,78,82,78,1,0,0,0,8.34,14.62,22.78,Thursday
2022-04-02,2022-05-13,41,100,1,7,16,84,589.87,1240.75,81,94,81,2,0,0,0,9.4,15.93,22.72,Friday
2022-04-02,2022-05-14,42,100,0,4,20,85,339.2,1560.0,79,90,83,5,0,0,0,8.75,14.78,23.67,Saturday
2022-04-02,2022-05-15,43,100,0,11,9,112,1226.87,923.16,111,105,113,1,0,1,1,9.04,14.61,24.11,Sunday
2022-04-02,2022-05-16,44,100,0,10,5,86,864.0,397.6,90,84,90,4,0,0,0,8.88,13.45,23.84,Monday
2022-04-02,2022-05-17,45,100,0,11,4,90,990.0,331.2,87,99,84,4,0,0,0,8.6,14.41,25.79,Tuesday
2022-04-02,2022-05-18,46,100,0,12,6,92,1100.0,505.84,84,99,88,0,0,0,0,8.85,12.02,24.8,Wednesday
2022-04-02,2022-05-19,47,100,0,11,7,82,913.73,535.55,90,92,80,2,0,0,0,8.37,13.38,24.73,Thursday
2022-04-02,2022-05-20,48,100,0,6,16,88,526.4,1291.09,89,85,86,2,0,0,0,8.04,12.36,23.86,Friday
2022-04-02,2022-05-21,49,100,0,4,22,88,348.53,1762.05,92,80,79,2,0,0,0,9.59,15.99,24.12,Saturday
2022-04-02,2022-05-22,50,100,0,5,16,79,398.33,1173.55,83,81,83,0,0,0,0,9.33,15.53,24.15,Sunday
2022-04-02,2022-05-23,51,100,0,9,6,79,710.4,435.68,79,70,87,2,0,0,0,8.71,12.32,22.9,Monday
2022-04-02,2022-05-24,52,100,0,5,5,82,412.33,379.53,79,90,84,0,0,0,0,8.76,13.71,25.21,Tuesday
2022-04-02,2022-05-25,53,100,0,7,2,93,649.6,170.72,96,88,92,0,0,0,0,9.71,15.09,25.77,Wednesday
2022-04-02,2022-05-26,54,100,2,10,3,85,845.33,233.2,93,79,76,2,0,0,0,8.54,12.14,23.05,Thursday
2022-04-02,2022-05-27,55,100,0,4,14,87,348.53,1122.43,86,90,87,1,0,0,0,9.34,15.52,25.08,Friday
2022-04-02,2022-05-28,56,100,0,4,16,86,348.53,1284.05,89,93,93,1,0,0,0,9.91,12.06,22.4,Saturday
2022-04-02,2022-05-29,57,100,0,3,15,92,277.6,1277.6,99,86,99,0,0,0,0,9.09,14.53,24.94,Sunday
2022-04-02,2022-05-30,58,100,0,7,5,94,651.93,428.07,90,93,86,1,0,0,0,8.53,13.72,22.01,Monday
2022-04-02,2022-05-31,59,100,0,5,5,89,439.67,404.07,80,84,87,0,0,0,0,8.97,12.68,24.22,Tuesday
2022-04-02,2022-06-01,60,100,0,4,3,86,344.8,237.96,86,93,82,2,0,0,0,9.13,18.72,26.1,Wednesday
2022-04-03,2022-04-03,0,100,0,13,26,95,1228.07,2258.53,88,87,102,0,0,0,0,7.33,9.51,21.69,Sunday
2022-04-03,2022-04-04,1,100,0,20,7,85,1706.67,549.73,89,88,83,3,0,0,0,8.55,10.67,20.83,Monday
2022-04-03,2022-04-05,2,100,0,16,6,85,1352.53,466.4,79,76,93,2,0,0,0,7.08,9.66,21.58,Tuesday
2022-04-03,2022-04-06,3,100,0,18,12,81,1446.0,886.24,79,77,77,3,0,0,0,7.89,10.23,18.8,Wednesday
2022-04-03,2022-04-07,4,100,0,16,12,79,1255.47,865.76,71,73,85,3,0,0,0,7.4,9.59,19.46,Thursday
2022-04-03,2022-04-08,5,100,0,12,22,83,985.6,1660.85,76,75,85,1,0,0,0,8.48,11.06,20.15,Friday
2022-04-03,2022-04-09,6,100,0,7,30,100,699.07,2756.0,105,91,102,1,0,0,0,7.95,11.79,19.46,Saturday
2022-04-03,2022-04-10,7,100,0,11,25,82,904.93,1892.67,91,80,79,2,0,0,0,8.94,10.2,21.26,Sunday
2022-04-03,2022-04-11,8,100,0,21,6,82,1713.6,450.24,87,77,76,5,0,0,0,8.3,9.69,19.48,Monday
2022-04-03,2022-04-12,9,100,0,21,7,78,1638.0,502.32,71,75,88,3,0,0,0,8.96,11.38,21.39,Tuesday
2022-04-03,2022-04-13,10,100,0,22,2,97,2126.67,177.81,93,105,88,2,0,1,2,8.21,8.15,19.41,Wednesday
2022-04-03,2022-04-14,11,100,0,20,8,75,1512.0,556.8,83,84,67,2,0,0,0,7.73,10.75,18.75,Thursday
2022-04-03,2022-04-15,12,100,0,9,20,92,828.6,1694.13,89,99,89,0,0,0,0,8.14,8.33,21.8,Friday
2022-04-03,2022-04-16,13,100,0,8,20,79,633.6,1457.6,76,81,83,2,0,0,0,8.78,9.2,19.86,Saturday
2022-04-03,2022-04-17,14,100,0,6,23,89,531.2,1872.51,83,98,79,2,0,0,0,8.64,8.56,18.44,Sunday
2022-04-03,2022-04-18,15,100,0,14,8,79,1110.67,584.11,83,85,74,4,0,0,0,7.14,8.76,19.19,Monday
2022-04-03,2022-04-19,16,100,0,18,8,79,1442.4,590.51,84,84,86,2,0,0,0,7.05,8.63,21.08,Tuesday
2022-04-03,2022-04-20,17,100,3,12,8,91,1091.2,669.23,93,91,88,2,0,0,0,7.33,10.54,21.46,Wednesday
2022-04-03,2022-04-21,18,100,0,15,9,84,1272.0,702.72,87,84,93,0,0,0,0,8.82,8.03,21.13,Thursday
2022-04-03,2022-04-22,19,100,0,10,18,80,798.67,1322.4,78,86,74,3,0,0,0,7.21,10.82,18.32,Friday
2022-04-03,2022-04-23,20,100,0,9,19,86,777.0,1509.61,87,86,90,3,0,0,0,8.22,11.87,18.56,Saturday
2022-04-03,2022-04-24,21,100,0,9,23,84,750.0,1762.11,78,84,80,0,0,0,0,8.1,8.07,18.44,Sunday
2022-04-03,2022-04-25,22,100,3,13,8,85,1096.33,620.27,90,79,76,2,0,0,0,8.9,8.88,21.91,Monday
2022-04-03,2022-04-26,23,100,0,10,5,91,914.67,420.93,99,100,81,0,0,0,0,7.52,9.31,18.88,Tuesday
2022-04-03,2022-04-27,24,100,0,16,6,82,1310.93,452.24,88,76,81,2,0,0,0,8.35,8.04,19.82,Wednesday
2022-04-03,2022-04-28,25,100,0,14,11,83,1160.13,838.49,79,90,78,1,0,0,0,7.2,10.98,18.33,Thursday
2022-04-03,2022-04-29,26,100,0,8,14,84,670.4,1079.12,78,77,94,2,0,0,0,8.28,10.64,21.19,Friday
2022-04-03,2022-04-30,27,100,0,6,24,74,436.8,1605.12,69,65,70,0,0,0,0,8.28,9.86,21.22,Saturday
2022-04-03,2022-05-01,28,100,0,9,18,81,736.8,1356.96,89,89,78,5,0,0,0,8.75,12.24,24.62,Sunday
2022-04-03,2022-05-02,29,100,0,11,8,83,912.27,610.35,86,74,88,2,0,0,0,9.72,12.16,23.19,Monday
2022-04-03,2022-05-03,30,100,0,13,7,80,1037.4,513.8,80,82,75,1,0,0,0,9.09,12.53,24.2,Tuesday
2022-04-03,2022-05-04,31,100,0,11,8,82,906.4,606.72,86,80,86,2,0,0,0,8.11,12.9,22.02,Wednesday
2022-04-03,2022-05-05,32,100,1,12,8,80,955.2,585.6,74,80,80,2,0,0,0,9.94,13.99,24.79,Thursday
2022-04-03,2022-05-06,33,100,2,3,21,96,290.6,1872.92,97,100,104,1,0,0,0,8.34,12.49,23.78,Friday
2022-04-03,2022-05-07,34,100,0,6,20,79,473.2,1450.93,85,80,70,3,0,0,0,8.98,15.57,23.1,Saturday
2022-04-03,2022-05-08,35,100,0,6,20,90,544.0,1669.33,94,89,97,1,0,0,0,9.18,15.36,23.75,Sunday
2022-04-03,2022-05-09,36,100,0,10,3,89,894.67,247.04,97,93,84,0,0,0,0,9.91,13.91,22.54,Monday
2022-04-03,2022-05-10,37,100,0,9,9,83,744.0,684.24,88,74,82,1,0,0,0,8.29,13.97,25.77,Tuesday
2022-04-03,2022-05-11,38,100,0,12,9,79,936.0,645.12,72,79,71,3,0,0,0,8.51,15.28,25.13,Wednesday
2022-04-03,2022-05-12,39,100,0,9,6,83,747.0,458.16,89,77,83,3,0,0,0,8.34,14.62,22.78,Thursday
2022-04-03,2022-05-13,40,100,1,8,18,93,745.07,1542.48,92,89,100,0,0,0,0,9.4,15.93,22.72,Friday
2022-04-03,2022-05-14,41,100,0,4,18,82,329.33,1363.92,86,77,88,2,0,0,0,8.75,14.78,23.67,Saturday
2022-04-03,2022-05-15,42,100,0,12,16,111,1328.8,1629.65,119,106,104,1,0,1,1,9.04,14.61,24.11,Sunday
2022-04-03,2022-05-16,43,100,0,12,5,86,1040.8,399.27,95,92,82,0,0,0,0,8.88,13.45,23.84,Monday
2022-04-03,2022-05-17,44,100,0,11,5,82,890.27,371.87,76,78,76,2,0,0,0,8.6,14.41,25.79,Tuesday
2022-04-03,2022-05-18,45,100,0,11,7,86,949.67,556.17,88,80,95,1,0,0,0,8.85,12.02,24.8,Wednesday
2022-04-03,2022-05-19,46,100,0,13,6,78,1025.27,435.76,88,82,77,0,0,0,0,8.37,13.38,24.73,Thursday
2022-04-03,2022-05-20,47,100,0,5,16,82,417.33,1230.51,89,87,92,1,0,0,0,8.04,12.36,23.86,Friday
2022-04-03,2022-05-21,48,100,0,5,18,81,402.0,1330.56,87,74,73,3,0,0,0,9.59,15.99,24.12,Saturday
2022-04-03,2022-05-22,49,100,0,5,14,90,450.0,1159.2,84,96,90,1,0,0,0,9.33,15.53,24.15,Sunday
2022-04-03,2022-05-23,50,100,0,5,8,81,407.0,599.36,76,88,85,0,0,0,0,8.71,12.32,22.9,Monday
2022-04-03,2022-05-24,51,100,0,7,5,89,616.0,404.4,88,82,82,1,0,0,0,8.76,13.71,25.21,Tuesday
2022-04-03,2022-05-25,52,100,0,10,4,80,797.33,293.33,73,77,86,2,0,0,0,9.71,15.09,25.77,Wednesday
2022-04-03,2022-05-26,53,100,2,10,5,87,864.67,397.53,85,81,87,3,0,0,0,8.54,12.14,23.05,Thursday
2022-04-03,2022-05-27,54,100,0,5,15,101,508.0,1402.8,97,108,107,2,0,0,0,9.34,15.52,25.08,Friday
2022-04-03,2022-05-28,55,100,0,4,9,96,388.27,804.48,101,101,102,2,0,0,0,9.91,12.06,22.4,Saturday
2022-04-03,2022-05-29,56,100,0,3,18,80,238.8,1317.6,71,79,84,1,0,0,0,9.09,14.53,24.94,Sunday
2022-04-03,2022-05-30,57,100,0,6,4,87,521.6,319.89,78,90,92,1,0,0,0,8.53,13.72,22.01,Monday
2022-04-03,2022-05-31,58,100,0,4,4,84,338.93,312.05,80,91,92,2,0,0,0,8.97,12.68,24.22,Tuesday
2022-04-03,2022-06-01,59,100,0,5,3,84,423.67,234.04,85,92,86,1,0,0,0,9.13,18.72,26.1,Wednesday
2022-04-03,2022-06-02,60,100,1,7,5,78,541.33,355.47,70,71,83,1,0,0,0,10.25,19.42,29.68,Thursday
2022-04-04,2022-04-04,0,100,0,20,7,74,1472.0,473.76,71,69,76,1,0,0,0,8.55,10.67,20.83,Monday
2022-04-04,2022-04-05,1,100,0,15,7,81,1225.0,526.31,83,82,88,1,0,0,0,7.08,9.66,21.58,Tuesday
2022-04-04,2022-04-06,2,100,0,17,12,84,1430.27,928.96,85,87,82,2,0,0,0,7.89,10.23,18.8,Wednesday
2022-04-04,2022-04-07,3,100,0,17,12,85,1434.8,931.2,77,76,93,2,0,0,0,7.4,9.59,19.46,Thursday
2022-04-04,2022-04-08,4,100,0,11,26,79,858.73,1865.41,83,70,70,1,0,0,0,8.48,11.06,20.15,Friday
2022-04-04,2022-04-09,5,100,0,7,28,94,657.07,2417.71,98,87,95,3,0,0,0,7.95,11.79,19.46,Saturday
2022-04-04,2022-04-10,6,100,0,10,29,90,894.67,2385.73,86,80,96,3,0,0,0,8.94,10.2,21.26,Sunday
2022-04-04,2022-04-11,7,100,0,22,6,83,1815.73,455.36,88,80,74,2,0,0,0,8.3,9.69,19.48,Monday
2022-04-04,2022-04-12,8,100,0,19,6,81,1537.73,446.72,84,76,82,3,0,0,0,8.96,11.38,21.39,Tuesday
2022-04-04,2022-04-13,9,100,0,21,3,102,2153.2,283.12,99,111,104,4,0,1,2,8.21,8.15,19.41,Wednesday
2022-04-04,2022-04-14,10,100,0,19,7,81,1537.73,521.17,90,76,76,2,0,0,0,7.73,10.75,18.75,Thursday
2022-04-04,2022-04-15,11,100,0,10,18,84,828.67,1370.64,77,77,81,6,0,0,0,8.14,8.33,21.8,Friday
2022-04-04,2022-04-16,12,100,0,8,23,97,769.07,2032.59,89,96,93,0,0,0,0,8.78,9.2,19.86,Saturday
2022-04-04,2022-04-17,13,100,0,5,23,87,431.67,1825.59,81,88,82,2,0,0,0,8.64,8.56,18.44,Sunday
2022-04-04,2022-04-18,14,100,0,15,8,82,1236.0,606.72,88,80,84,2,0,0,0,7.14,8.76,19.19,Monday
2022-04-04,2022-04-19,15,100,0,19,10,78,1480.73,716.93,74,86,73,2,0,0,0,7.05,8.63,21.08,Tuesday
2022-04-04,2022-04-20,16,100,3,11,9,81,888.07,668.28,84,71,84,2,0,0,0,7.33,10.54,21.46,Wednesday
2022-04-04,2022-04-21,17,100,0,15,7,78,1177.0,505.59,77,87,77,1,0,0,0,8.82,8.03,21.13,Thursday
2022-04-04,2022-04-22,18,100,0,11,20,81,882.93,1475.73,82,75,75,2,0,0,0,7.21,10.82,18.32,Friday
2022-04-04,2022-04-23,19,100,0,9,20,87,782.4,1599.47,88,86,86,0,0,0,0,8.22,11.87,18.56,Saturday
2022-04-04,2022-04-24,20,100,0,8,21,78,620.8,1498.56,71,87,70,3,0,0,0,8.1,8.07,18.44,Sunday
2022-04-04,2022-04-25,21,100,3,13,10,87,1118.87,791.07,80,87,80,3,0,0,0,8.9,8.88,21.91,Monday
2022-04-04,2022-04-26,22,100,0,11,6,83,911.53,457.36,78,88,81,3,0,0,0,7.52,9.31,18.88,Tuesday
